Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
1900,All Races,Male,46.3,2630.8
1901,All Races,Male,47.6,2600.5
1902,All Races,Male,49.8,2447.9
1903,All Races,Male,49.1,2513.5
1904,All Races,Male,46.2,2652.9
1905,All Races,Male,47.3,2565.5
1906,All Races,Male,46.9,2553.6
1907,All Races,Male,45.6,2660.3
1908,All Races,Male,49.5,2433.4
1909,All Races,Male,50.5,2385.7
1910,All Races,Male,48.4,2459.9
1911,All Races,Male,50.9,2374.5
1912,All Races,Male,51.5,2352.8
1913,All Races,Male,50.3,2351.2
1914,All Races,Male,52,2286.1
1915,All Races,Male,52.5,2302.6
1916,All Races,Male,49.6,2406.2
1917,All Races,Male,48.4,2427.8
1918,All Races,Male,36.6,2740.5
1919,All Races,Male,53.5,2141.5
1920,All Races,Male,53.6,2213.2
1921,All Races,Male,60,2025
1922,All Races,Male,58.4,2131.8
1923,All Races,Male,56.1,2229.5
1924,All Races,Male,58.1,2146.9
1925,All Races,Male,57.6,2178
1926,All Races,Male,55.5,2262.2
1927,All Races,Male,59,2113.8
1928,All Races,Male,55.6,2256.3
1929,All Races,Male,55.8,2219.7
1930,All Races,Male,58.1,2088.8
1931,All Races,Male,59.4,2047.4
1932,All Races,Male,61,2036.4
1933,All Races,Male,61.7,2002
1934,All Races,Male,59.3,2056.7
1935,All Races,Male,59.9,2031.2
1936,All Races,Male,56.6,2148.5
1937,All Races,Male,58,2072.8
1938,All Races,Male,61.9,1932.4
1939,All Races,Male,62.1,1937.2
1940,All Races,Male,60.8,1976
1941,All Races,Male,63.1,1894.3
1942,All Races,Male,64.7,1835.1
1943,All Races,Male,62.4,1907.7
1944,All Races,Male,63.6,1821.6
1945,All Races,Male,63.6,1791.6
1946,All Races,Male,64.4,1727.6
1947,All Races,Male,64.4,1743
1948,All Races,Male,64.6,1720.5
1949,All Races,Male,65.2,1676.7
1950,All Races,Male,65.6,1674.2
1951,All Races,Male,65.6,1651.7
1952,All Races,Male,65.8,1620.8
1953,All Races,Male,66,1619
1954,All Races,Male,66.7,1540.7
1955,All Races,Male,66.7,1565.2
1956,All Races,Male,66.7,1575.5
1957,All Races,Male,66.4,1606.7
1958,All Races,Male,66.6,1596.3
1959,All Races,Male,66.8,1573.4
1960,All Races,Male,66.6,1609
1961,All Races,Male,67.1,1567.6
1962,All Races,Male,66.9,1604.4
1963,All Races,Male,66.6,1644
1964,All Races,Male,66.8,1597
1965,All Races,Male,66.8,1614.3
1966,All Races,Male,66.7,1624.2
1967,All Races,Male,67,1591.8
1968,All Races,Male,66.6,1635.2
1969,All Races,Male,66.8,1601.4
1970,All Races,Male,67.1,1542.1
1971,All Races,Male,67.4,1542.5
1972,All Races,Male,67.4,1551.1
1973,All Races,Male,67.6,1537.5
1974,All Races,Male,68.2,1478.5
1975,All Races,Male,68.8,1417.4
1976,All Races,Male,69.1,1404.3
1977,All Races,Male,69.5,1369.3
1978,All Races,Male,69.6,1358.1
1979,All Races,Male,70,1316.2
1980,All Races,Male,70,1347.6
1981,All Races,Male,70.4,1308.2
1982,All Races,Male,70.8,1279.9
1983,All Races,Male,71,1284.4
1984,All Races,Male,71.1,1271
1985,All Races,Male,71.1,1277.6
1986,All Races,Male,71.2,1261.5
1987,All Races,Male,71.4,1245.7
1988,All Races,Male,71.4,1250
1989,All Races,Male,71.7,1214.2
1990,All Races,Male,71.8,1202
1991,All Races,Male,72,1180.2
1992,All Races,Male,72.3,1158
1993,All Races,Male,72.2,1177
1994,All Races,Male,72.4,1155.1
1995,All Races,Male,72.5,1143.6
1996,All Races,Male,73.1,1115.2
1997,All Races,Male,73.6,1087.7
1998,All Races,Male,73.8,1068.9
1999,All Races,Male,73.9,1067
2000,All Races,Male,74.3,1053.8
2001,All Races,Male,74.3,1035.3
2002,All Races,Male,74.4,1030.6
2003,All Races,Male,74.5,1010.3
2004,All Races,Male,75,973.3
2005,All Races,Male,75,971.9
2006,All Races,Male,75.2,943.4
2007,All Races,Male,75.5,922.9
2008,All Races,Male,75.6,918.8
2009,All Races,Male,76,890.9
2010,All Races,Male,76.2,887.1
2011,All Races,Male,76.3,875.3
2012,All Races,Male,76.4,865.1
2013,All Races,Male,76.4,863.6
2014,All Races,Male,76.5,855.1
2015,All Races,Male,76.3,863.2
2016,All Races,Male,76.2,861
2017,All Races,Male,76.1,864.5
2018,All Races,Male,76.2,855.5
