Year,Race,Sex,ALE,Age-adjusted Death Rate
1900,Black,Female,33.5,3308
1901,Black,Female,35.3,3167.2
1902,Black,Female,36.4,3003.4
1903,Black,Female,34.6,3210.9
1904,Black,Female,32.7,3362.4
1905,Black,Female,33.1,3247.5
1906,Black,Female,33.9,3115.4
1907,Black,Female,34,3179.3
1908,Black,Female,36,2963.6
1909,Black,Female,37.3,2875.6
1910,Black,Female,37.5,2875.3
1911,Black,Female,38.2,2899.8
1912,Black,Female,40,2807.7
1913,Black,Female,40.3,2802.7
1914,Black,Female,40.8,2810.1
1915,Black,Female,40.5,2948.8
1916,Black,Female,43.1,2853.6
1917,Black,Female,40.8,2970.6
1918,Black,Female,32.5,3304.3
1919,Black,Female,44.4,2663.2
1920,Black,Female,45.2,2756.2
1921,Black,Female,51.3,2475
1922,Black,Female,53,2476.1
1923,Black,Female,48.9,2657.8
1924,Black,Female,47.8,2693.2
1925,Black,Female,46.7,2741.9
1926,Black,Female,45.6,2778
1927,Black,Female,48.9,2565.5
1928,Black,Female,47,2703.1
1929,Black,Female,47.8,2664.8
1930,Black,Female,49.2,2530.1
1931,Black,Female,51.5,2362.8
1932,Black,Female,54.6,2256.1
1933,Black,Female,56,2174.1
1934,Black,Female,53.7,2213.4
1935,Black,Female,55.2,2136.5
1936,Black,Female,51.4,2278.7
1937,Black,Female,52.5,2158.5
1938,Black,Female,54.3,2057.1
1939,Black,Female,56,1992.4
1940,Black,Female,54.9,2057.5
1941,Black,Female,55.3,1945.9
1942,Black,Female,58.2,1803.7
1943,Black,Female,56.1,1837.6
1944,Black,Female,57.7,1733.6
1945,Black,Female,59.6,1634.8
1946,Black,Female,61,1556.8
1947,Black,Female,61.9,1586.1
1948,Black,Female,62.5,1580
1949,Black,Female,62.7,1572.2
1950,Black,Female,62.9,1574.1
1951,Black,Female,63.4,1508.3
1952,Black,Female,63.8,1465
1953,Black,Female,64.5,1434.3
1954,Black,Female,65.9,1326.3
1955,Black,Female,66.1,1326.7
1956,Black,Female,66.1,1331.9
1957,Black,Female,65.5,1374.6
1958,Black,Female,65.8,1354.6
1959,Black,Female,66.5,1305
1960,Black,Female,66.3,1340.5
1961,Black,Female,67.1,1295.9
1962,Black,Female,66.9,1324.5
1963,Black,Female,66.6,1347.8
1964,Black,Female,67.3,1284.1
1965,Black,Female,67.6,1266
1966,Black,Female,67.6,1274.6
1967,Black,Female,68.5,1209.7
1968,Black,Female,67.9,1325.6
1969,Black,Female,68.6,1274.9
1970,Black,Female,68.3,1228.7
1971,Black,Female,68.9,1196.8
1972,Black,Female,69.1,1181.2
1973,Black,Female,69.3,1179.7
1974,Black,Female,70.3,1109.7
1975,Black,Female,71.3,1042.4
1976,Black,Female,71.6,1031.2
1977,Black,Female,72,1012.2
1978,Black,Female,72.4,995.1
1979,Black,Female,72.9,967.1
1980,Black,Female,72.5,1031.8
1981,Black,Female,73.2,985.7
1982,Black,Female,73.6,958.8
1983,Black,Female,73.5,980.2
1984,Black,Female,73.6,974.9
1985,Black,Female,73.4,992.2
1986,Black,Female,73.4,992.7
1987,Black,Female,73.4,988.4
1988,Black,Female,73.2,1005.4
1989,Black,Female,73.3,995.8
1990,Black,Female,73.6,973.6
1991,Black,Female,73.8,961.8
1992,Black,Female,73.9,941.4
1993,Black,Female,73.7,968.6
1994,Black,Female,73.9,954
1995,Black,Female,73.9,955.7
1996,Black,Female,74.2,939.6
1997,Black,Female,74.7,921.6
1998,Black,Female,74.8,921
1999,Black,Female,74.7,933.6
2000,Black,Female,75.1,927.6
2001,Black,Female,75.3,917.9
2002,Black,Female,75.4,913.5
2003,Black,Female,75.7,898.3
2004,Black,Female,76.1,869.8
2005,Black,Female,76.2,862.7
2006,Black,Female,76.7,828.4
2007,Black,Female,77,808.1
2008,Black,Female,77.3,792
2009,Black,Female,77.7,763.3
2010,Black,Female,78,752.5
2011,Black,Female,78.2,739.8
2012,Black,Female,78.4,723.9
2013,Black,Female,78.4,720.6
2014,Black,Female,78.5,713.3
2015,Black,Female,78.5,710.8
2016,Black,Female,78.3,712.9
2017,Black,Female,78.5,706.1
2018,Black,Female,,702.6
