Year,Race,Sex,ALE,Age-adjusted Death Rate
1900,Black,Male,32.5,3576.5
1901,Black,Male,32.2,3524.8
1902,Black,Male,32.9,3399.8
1903,Black,Male,31.7,3546.5
1904,Black,Male,29.1,3845.7
1905,Black,Male,29.6,3654.7
1906,Black,Male,31.8,3341
1907,Black,Male,31.1,3408.1
1908,Black,Male,33.8,3140
1909,Black,Male,34.2,3149
1910,Black,Male,33.8,3087.5
1911,Black,Male,34.6,3094.2
1912,Black,Male,35.9,3114.2
1913,Black,Male,36.7,3011.9
1914,Black,Male,37.1,3017.4
1915,Black,Male,37.5,3104.1
1916,Black,Male,39.6,3035.1
1917,Black,Male,37,3172.8
1918,Black,Male,29.9,3532.5
1919,Black,Male,44.5,2650
1920,Black,Male,45.5,2748.4
1921,Black,Male,51.6,2461.2
1922,Black,Male,51.8,2560.4
1923,Black,Male,47.7,2803.9
1924,Black,Male,45.5,2947
1925,Black,Male,44.9,3000.7
1926,Black,Male,43.7,3054.7
1927,Black,Male,47.6,2801.1
1928,Black,Male,45.6,2980.3
1929,Black,Male,45.7,3012.6
1930,Black,Male,47.3,2845.5
1931,Black,Male,49.5,2680.3
1932,Black,Male,52.8,2550
1933,Black,Male,53.5,2452.1
1934,Black,Male,50.2,2567.5
1935,Black,Male,51.3,2502.9
1936,Black,Male,47,2722.4
1937,Black,Male,48.3,2596.1
1938,Black,Male,51.7,2384.3
1939,Black,Male,53.2,2328.1
1940,Black,Male,51.5,2458.9
1941,Black,Male,52.5,2351.1
1942,Black,Male,55.4,2187.8
1943,Black,Male,55.4,2189.9
1944,Black,Male,55.8,2084.9
1945,Black,Male,56.1,2002.7
1946,Black,Male,57.5,1878.6
1947,Black,Male,57.9,1922.8
1948,Black,Male,58.1,1954.3
1949,Black,Male,58.9,1915.4
1950,Black,Male,59.1,1949.5
1951,Black,Male,59.2,1903.4
1952,Black,Male,59.1,1894.1
1953,Black,Male,59.7,1863.1
1954,Black,Male,61.1,1726.6
1955,Black,Male,61.4,1707.5
1956,Black,Male,61.3,1724.1
1957,Black,Male,60.7,1797
1958,Black,Male,61,1779.2
1959,Black,Male,61.3,1724.7
1960,Black,Male,61.1,1777.6
1961,Black,Male,62,1713.3
1962,Black,Male,61.6,1775.4
1963,Black,Male,61,1859
1964,Black,Male,61.3,1768.1
1965,Black,Male,61.2,1791
1966,Black,Male,60.9,1832.4
1967,Black,Male,61.4,1767.2
1968,Black,Male,60.4,1976.8
1969,Black,Male,60.6,1934.4
1970,Black,Male,60,1873.9
1971,Black,Male,60.5,1836.1
1972,Black,Male,60.4,1871.8
1973,Black,Male,60.9,1849.5
1974,Black,Male,61.7,1769.5
1975,Black,Male,62.4,1697
1976,Black,Male,62.9,1676
1977,Black,Male,63.4,1647.9
1978,Black,Male,63.7,1626.9
1979,Black,Male,64,1601.5
1980,Black,Male,63.8,1695.5
1981,Black,Male,64.5,1626.6
1982,Black,Male,65.1,1580
1983,Black,Male,65.2,1600.5
1984,Black,Male,65.3,1597.1
1985,Black,Male,65,1632.9
1986,Black,Male,64.8,1648.4
1987,Black,Male,64.7,1646.3
1988,Black,Male,64.4,1673.1
1989,Black,Male,64.3,1666.1
1990,Black,Male,64.5,1642.4
1991,Black,Male,64.6,1624.1
1992,Black,Male,65,1586.2
1993,Black,Male,64.6,1631.1
1994,Black,Male,64.9,1591.9
1995,Black,Male,65.2,1585.2
1996,Black,Male,66.1,1523.2
1997,Black,Male,67.2,1458.2
1998,Black,Male,67.6,1429.8
1999,Black,Male,67.8,1432.6
2000,Black,Male,68.2,1403.5
2001,Black,Male,68.5,1380.5
2002,Black,Male,68.7,1364.8
2003,Black,Male,68.9,1343.5
2004,Black,Male,69.4,1296.9
2005,Black,Male,69.5,1281.3
2006,Black,Male,69.9,1239.5
2007,Black,Male,70.3,1204.8
2008,Black,Male,70.9,1168
2009,Black,Male,71.4,1123.1
2010,Black,Male,71.8,1104
2011,Black,Male,72.2,1067.1
2012,Black,Male,72.3,1058.6
2013,Black,Male,72.3,1052.8
2014,Black,Male,72.5,1034
2015,Black,Male,72.2,1040.3
2016,Black,Male,72,1049.5
2017,Black,Male,71.9,1049.5
2018,Black,Male,,1051.5
