Year,Race,Sex,ALE,ADR
1900,White,Female,48.7,2394
1901,White,Female,51,2334.7
1902,White,Female,53.8,2146.4
1903,White,Female,52.5,2231.5
1904,White,Female,49.5,2339.7
1905,White,Female,50.6,2269
1906,White,Female,51.4,2220.8
1907,White,Female,50.4,2303.8
1908,White,Female,53.3,2141.8
1909,White,Female,54.2,2092.1
1910,White,Female,52,2154
1911,White,Female,54.9,2088.3
1912,White,Female,56.2,2045.1
1913,White,Female,55.7,2027.6
1914,White,Female,57.5,1976.1
1915,White,Female,57.5,2008.4
1916,White,Female,55.2,2078.3
1917,White,Female,55.3,2063.3
1918,White,Female,43.2,2274.9
1919,White,Female,57.4,1915.1
1920,White,Female,55.6,2025.9
1921,White,Female,62.9,1842.3
1922,White,Female,61.9,1917.7
1923,White,Female,59.6,1995.9
1924,White,Female,63.4,1860.6
1925,White,Female,62.4,1890.5
1926,White,Female,59.6,1963.8
1927,White,Female,63.9,1800.4
1928,White,Female,60,1920.2
1929,White,Female,60.3,1869.9
1930,White,Female,63.5,1726.6
1931,White,Female,64.7,1681.8
1932,White,Female,64.5,1707.3
1933,White,Female,66.3,1649.4
1934,White,Female,64.6,1668.1
1935,White,Female,65,1642
1936,White,Female,61.9,1727.4
1937,White,Female,63.8,1644.3
1938,White,Female,66.8,1549.4
1939,White,Female,66.6,1556.8
1940,White,Female,66.6,1550.4
1941,White,Female,68.5,1453.2
1942,White,Female,69.4,1403.6
1943,White,Female,65.7,1469.1
1944,White,Female,68.4,1391.1
1945,White,Female,69.5,1344.7
1946,White,Female,70.3,1315.2
1947,White,Female,70.5,1301.6
1948,White,Female,71,1263.7
1949,White,Female,71.9,1217.3
1950,White,Female,72.2,1198
1951,White,Female,72.4,1179.1
1952,White,Female,72.6,1153.3
1953,White,Female,73,1141
1954,White,Female,73.7,1081.8
1955,White,Female,73.7,1095.4
1956,White,Female,73.9,1089.9
1957,White,Female,73.7,1104.1
1958,White,Female,73.9,1090.8
1959,White,Female,74.2,1065.3
1960,White,Female,74.1,1074.4
1961,White,Female,74.6,1038.8
1962,White,Female,74.5,1052.6
1963,White,Female,74.4,1062.6
1964,White,Female,74.7,1030.9
1965,White,Female,74.8,1026.7
1966,White,Female,74.8,1024.7
1967,White,Female,75.2,992.9
1968,White,Female,75,1012.2
1969,White,Female,75.3,984.2
1970,White,Female,75.6,944
1971,White,Female,75.8,933.4
1972,White,Female,75.9,932.9
1973,White,Female,76.1,921.4
1974,White,Female,76.7,884.2
1975,White,Female,77.3,834.1
1976,White,Female,77.5,828.9
1977,White,Female,77.9,799.7
1978,White,Female,78,796.6
1979,White,Female,78.4,770.1
1980,White,Female,78.1,796
1981,White,Female,78.4,773.6
1982,White,Female,78.7,758.6
1983,White,Female,78.7,764.1
1984,White,Female,78.7,760.5
1985,White,Female,78.7,764.2
1986,White,Female,78.8,758
1987,White,Female,78.9,753.2
1988,White,Female,78.9,758.7
1989,White,Female,79.2,738.3
1990,White,Female,79.4,728.3
1991,White,Female,79.6,715.9
1992,White,Female,79.8,703.9
1993,White,Female,79.5,723.9
1994,White,Female,79.6,717.3
1995,White,Female,79.6,718.4
1996,White,Female,79.7,713.3
1997,White,Female,79.9,707.5
1998,White,Female,80,706.9
1999,White,Female,79.9,716.6
2000,White,Female,79.9,715.3
2001,White,Female,80,710.4
2002,White,Female,80.1,709.3
2003,White,Female,80.2,701.6
2004,White,Female,80.5,677.7
2005,White,Female,80.5,680.9
2006,White,Female,80.7,662.3
2007,White,Female,80.9,649.4
2008,White,Female,80.9,653.7
2009,White,Female,81.2,631.3
2010,White,Female,81.3,630.8
2011,White,Female,81.3,630.3
2012,White,Female,81.4,623.8
2013,White,Female,81.4,623.6
2014,White,Female,81.4,617.6
2015,White,Female,81.3,627
2016,White,Female,81.3,619.4
2017,White,Female,81.2,623.5
2018,White,Female,,614.6
