Year,Race,Sex,ALE,ADR
1900,White,Male,46.6,2613.2
1901,White,Male,48,2582.3
1902,White,Male,50.2,2430.1
1903,White,Male,49.5,2494.2
1904,White,Male,46.6,2630.5
1905,White,Male,47.6,2544.7
1906,White,Male,47.3,2529.3
1907,White,Male,46,2637
1908,White,Male,49.9,2412.3
1909,White,Male,50.9,2363.8
1910,White,Male,48.6,2441.9
1911,White,Male,51.3,2350.3
1912,White,Male,51.9,2327.5
1913,White,Male,50.8,2322.1
1914,White,Male,52.7,2254.1
1915,White,Male,53.1,2267.8
1916,White,Male,50.2,2365.6
1917,White,Male,49.3,2375.9
1918,White,Male,37.1,2680.7
1919,White,Male,54.5,2096
1920,White,Male,54.4,2166.6
1921,White,Male,60.8,1986.2
1922,White,Male,59.1,2088.2
1923,White,Male,57.1,2174.2
1924,White,Male,59.8,2073.7
1925,White,Male,59.3,2104.4
1926,White,Male,57,2190.6
1927,White,Male,60.5,2048.6
1928,White,Male,57,2182.8
1929,White,Male,57.2,2141.2
1930,White,Male,59.7,2013.8
1931,White,Male,60.8,1983.6
1932,White,Male,62,1982.9
1933,White,Male,62.7,1952.2
1934,White,Male,60.5,2000.7
1935,White,Male,61,1979.3
1936,White,Male,58,2087
1937,White,Male,59.3,2016.5
1938,White,Male,63.2,1882.7
1939,White,Male,63.3,1894.4
1940,White,Male,62.1,1925.2
1941,White,Male,64.4,1844.1
1942,White,Male,65.9,1793.7
1943,White,Male,63.2,1872.9
1944,White,Male,64.5,1788
1945,White,Male,64.4,1761.6
1946,White,Male,65.1,1706.1
1947,White,Male,65.2,1718.6
1948,White,Male,65.5,1691.2
1949,White,Male,66.2,1647.8
1950,White,Male,66.5,1642.5
1951,White,Male,66.5,1621.7
1952,White,Male,66.6,1588.5
1953,White,Male,66.8,1589
1954,White,Male,67.5,1516.3
1955,White,Male,67.4,1544.7
1956,White,Male,67.5,1554.4
1957,White,Male,67.2,1581.7
1958,White,Male,67.4,1573.1
1959,White,Male,67.5,1552.1
1960,White,Male,67.4,1586
1961,White,Male,67.8,1547.3
1962,White,Male,67.7,1579.1
1963,White,Male,67.4,1614.7
1964,White,Male,67.7,1572
1965,White,Male,67.6,1589.9
1966,White,Male,67.5,1595.7
1967,White,Male,67.8,1566.9
1968,White,Male,67.5,1602.7
1969,White,Male,67.7,1570.4
1970,White,Male,68,1513.7
1971,White,Male,68.3,1514.4
1972,White,Male,68.3,1520.2
1973,White,Male,68.5,1507.2
1974,White,Male,69,1450.8
1975,White,Male,69.5,1391.1
1976,White,Male,69.9,1379.5
1977,White,Male,70.2,1343.5
1978,White,Male,70.4,1332.5
1979,White,Male,70.8,1289.5
1980,White,Male,70.7,1317.4
1981,White,Male,71.1,1282.4
1982,White,Male,71.5,1255.9
1983,White,Male,71.6,1259.8
1984,White,Male,71.8,1245.5
1985,White,Male,71.8,1249.5
1986,White,Male,71.9,1230.5
1987,White,Male,72.1,1213.1
1988,White,Male,72.2,1215.5
1989,White,Male,72.5,1176
1990,White,Male,72.7,1165.3
1991,White,Male,72.9,1142.8
1992,White,Male,73.2,1122.2
1993,White,Male,73.1,1138.7
1994,White,Male,73.3,1118.4
1995,White,Male,73.4,1107.2
1996,White,Male,73.9,1082.5
1997,White,Male,74.3,1058.7
1998,White,Male,74.5,1041.6
1999,White,Male,74.6,1040.1
2000,White,Male,74.7,1029.4
2001,White,Male,74.9,1012.1
2002,White,Male,74.9,1009
2003,White,Male,75.1,988.8
2004,White,Male,75.5,953.2
2005,White,Male,75.5,952.9
2006,White,Male,75.8,925.8
2007,White,Male,76,907.1
2008,White,Male,76.1,907.1
2009,White,Male,76.4,880.5
2010,White,Male,76.5,878.5
2011,White,Male,76.6,870.2
2012,White,Male,76.7,860
2013,White,Male,76.7,859.2
2014,White,Male,76.7,853.4
2015,White,Male,76.6,861.9
2016,White,Male,76.4,858.9
2017,White,Male,76.4,863.4
2018,White,Male,,853.1
